,0
856,استغفرالله .. الحمدلله .. لا إله الا االله ..االله اكبر 🤍 اللهم صل وسلم على سيدنا محمد 🤍
857,V
858,There is no delivey option remove it from the feedback pleasr
859,ممتز
860,ً
861,🤩
862,❤️❤️
863,احسن طلبيه وصلت صراحه ❤️❤️
864,شكرا
865,I felt I got great quality for the amount I paid
866,Too much sugar
867,برفكت
868,"كان تغليف الطلب ممتاز, كان الأكل لذيذ جداً وفاق توقعاتي"
869,"The food packaging was perfect, I was impressed with how fast my order arrived, I felt I got great quality for the amount I paid, Food was delicious and surpassed my expectations"
870,"جميل جدًااا .. شغل الكافيه جدوا مرتب وراقي .. تعشقونه حقيقي
والكوفي لذيذذذذ"
871,الطلب غلط انا طلبت ٢ ووصلني ١ وانا دفعت المبلغ
872,ممتازة
873,😋😋😋😋😋
874,"Said saif or saif said , he is working in Ushk he is super excellent and friendly and very helpful I will always order form Ushk"
875,Ushk cake is delicious but over priced
876,"I loved how my order was packaged, My order arrived very fast, I felt I got great quality for the amount I paid, Food was delicious and surpassed my expectations"
877,ب
878,وي
879,ت
880,جيد جداً
881,ربي يتقبل
882,Bery delicious
883,ممتاز
884,G
885,نتمنى انه نتأكد بطريقة انه الفلوس وصل للفريق الخيري
886,شكرا لكم
887,اين الطلب
888,كان تغليف الطلب ممتاز
889,😍
890,وقت التوصيل كان سريع جداً
891,كان تغليف الطلب ممتاز
892,"كان تغليف الطلب ممتاز, وقت التوصيل كان سريع جداً, حسيت ان نوعية الأكل كانت ممتازة بالنسبة للسعر, كان الأكل لذيذ جداً وفاق توقعاتي"
893,I felt I got great quality for the amount I paid
894,جيد
895,ما كان  مستوي الاكل بالمره
896,منتاز
897,I recived wrong order
898,"Shawerma is too much salty and do not have much garlic sauce as i requested, Food quality should definitely be improved"
899,طلبت ميلك شيك أوريو ما فيه ولا أوريو و طعمه ماي مع فانيلا مع الأسف لما طلبت اول كان احسن أما الحين فلا
900,the shawarma smells really bad 👎
901,الطعام به دهون أكثر من اللازم
902,بصراحة كنت متعود اني اطلب من محل اخر ولكن للاسف كان مغلق اليوم فاضطررت ان اطلب من هذا المتجر، ولكن مع انني طلبت نفس ما كنت اطلب ولكن الطلب كان طعمه غير المتوقع و احسست بانني اشرب عصير من البقالة وليس عصيرا طازجا و غنيا بالطعم اللذيذ فقد فقد لذته الاصلية و طعمه الاصيل الذي لطالما تعودت عليه
903,لم يكن الطلب نفس ما طلبت اريد استرجاع حقي
904,ماااايييييي مو عصيييررر،، ماااايييييي والله ماااايييييي
905,no recommend at all.
906,طعم لذيذ
907,خطأ في الطلبية ، والروبيان غير منظف من القذارة !
908,
909,Amazing food
910,لم يعجبني الطعم
911,😄جميل ويستحق التجربه
912,wrong order received
913,👍🏼👍🏼
914,food taste bad
915,❤️❤️❤️❤️❤️❤️
916,لحم فيه ريحه و كلهه شحم وعظم
917,ا
918,جيد
919,طلبت روب ما وصلي
920,ممتاز
921,طلبي ناقص
922,Please be sure with the order before bringing coz some items get forgotten
923,جيد جدا
924,"He's calling over and over even though i told him im coming at the same minute he send he is here! 
No need to annoy"
925,طيب
926,ممتاز
927,Waw
928,There is a stapler wire in food
929,No coment
930,Good
931,🧡
932,PLS THE TALABAT GUY DID NOT RETURN MY CHANGE I PAY 10 RIALS AND HE DID NOT COME BACK CAN YOU HELP ME? I want to complain
933,كميه اكل قليله والسعر مرتفغ والطعم تغير كاري دجاج
934,Very good
935,Food is a bit cold but still tastey. The kimchi didnt meet expectations.
936,"He would not being the food to my door. 
I had to argue to get hime to bring the food to the first floor."
937,Good
938,ممتاز
939,Good
940,Excellent
941,Its not even half of the portion
942,Ok
943,my order not complete but I'm thankful the talabat very accommodating they refund.
944,Good
945,Favourite comfort food 💖
946,👍🏻👍🏻👍🏻
947,Good
948,i always order chicken BBQ lauriat and always have ice tea  but that day they didnt give ice tea so dissappointed
949,Excellent
950,Realy im angri. I was too much waithing for damage things 😤talabat not like before
951,Good
952,good
953,جيد
954,كان الايسكريم ذايب
955,Great.
956,
957,
958,The portion is not worth its value
959,ew
960,The ice cresm is melted !
961,U
962,في مطاعم احلى بواجد ماحلوو طعمه البررررر كل عصائرهم حتى النوتيلا مغشوش فيههه
963,
964,i didnt enjoy the quality but delivered quick
965,He was fast and kind
966,Very good
967,سلاش الفراولة لا ثلج ولا طعم كأنه دواء استغفر الله
968,Very good
969,و
970,حلو
971,Best
972,Amazing
973,Keep it up
974,Disappointing ! They delivered the food with NO utensils. How can i eat loaded fries without a fork ? The size of the milkshake is NOT worth the price
975,Very nice
976,Good
977,You can do better
978,I did not order coloured burger bun I ordered normal bun but got one with colours!!!
979,Favorite food
980,Buffalo chicken burger is chewy
981,Good service
982,Excellent service
983,Super good service
984,tasty burgers generous portion
985,Nice burgar
986,nice food
987,The wrong item was given and i paied extra for fries and there was only one fries
988,"good , beef with mashroom was good"
989,good food
990,Food was hot but soggy. Didn't give ranch sauce with the wings and generally taste was below expectations from rocomama. It does not travel well.
991,Good as always
992,شكرا
993,Good
994,و
995,"I was so disappointed, I remember I ordered my food at 11:30 and I recieve it exactly at 12:30. I ordered iced latte and the ice was totally melted and teast like drinking water"
996,"Hot dog croissant, too spicy 🌶🥵"
997,جيده جدااااا
998,Delicious
999,Very nice food thank u
1000,Yahooooo
1001,
1002,Fresh and delicious
1003,لذيذ جدًا قوي
1004,Yummiest croissants and san sebastian cheesecake !!
1005,🥰🥰
1006,مشروب ليش نص ندفع
1007,ممتاز
1008,🌺
1009,Perfect
1010,"Best experience ever , thhankkk youuu🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍🤍"
1011,Good
1012,الاكل لذيذ جدا
1013,Good
1014,"The meat is not good , full of fat . 
Couldnt eat"
1015,"Nice pattys, buns and sauce but if you are toing to put olives they better be tasty and juicy. Next time no olives for me thanks."
1016,جيد
1017,ليس جيد
1018,Order wrong
1019,I didnt receive a drink with my meal
1020,الاكل موب نفس الصوره
1021,Terribe service no food and told to wait almost 90 mins still havent received
1022,Every thing was good
1023,الأكل لذيذ لكن كثير يتأخر الطلب لحد ما يوصل
1024,My food was cold
1025,missing items
1026,طعم مادة الاشتعال المستخدمه لتوليع الفحم موجوده فالبرجر وهو غير قابل للاكل
1027,Yummy food
1028,Good timing of dealivery
1029,Food was soo good but messy packaging
1030,Welldone! Improved both ways👍🏽
1031,ممتاز
1032,"i order lamb,  they give chicken"
1033,"The kunafa was hot very good and tasty , the waffle also was delicious full of nuttela and fruits"
1034,The food packaging was perfect
1035,"The food packaging was perfect, I was impressed with how fast my order arrived, I felt I got great quality for the amount I paid, Food was delicious and surpassed my expectations"
1036,"The kunafa is cold and oily and the syrup was very little , the waffles was rubbery and just bad"
1037,Disappointing that my order was brought half and my tea from harmlek never arrived
1038,اتمنى تقللو من الزيت ف الكنافة.. الأكل لذيذ بس وصل بارد زين لو بأرسل من الألمنيوم بيحافظ ع الحرارة..
1039,"The food packaging was perfect, My order didn’t arrive within the time I expected, My order was average in terms of value for money, Food quality can be better"
1040,"The order’s packaging was average, My order was average in terms of value for money, Food was delicious and surpassed my expectations"
1041,I ordered pistachio waffle with strawberries but received nutella waffle without any strawberries! Plus my coffee was already cold
1042,كانت الشاي بارداً وطلبنا بحجم الكبير ولاكن الطلبيه وصلت بحجم المتوسط، ولذالك ارجو المتابعه في هذي الامر ، وشگراً.
1043,I felt I got bad quality for the amount I paid its really small
1044,no cheese only a little bit and to small
1045,"One of the worst order I ever made,  have ordered for 3 Kunafa &amp; one waffle. They delivered by mistake only the waffle &amp; we paid fully, when we called they said will deliver the rest but never got &amp; when called Haramlek they were very tough &amp; rude."
1046,The taste of the kunafa is not good as usual and it doesn’t taste fresh
1047,ن
1048,Kebab is highly recommended
1049,مو حلو واسعار مبالغ فيها
1050,Good
1051,Kebab are so delicious
1052,Ok
1053,Got wrong order
1054,حجم البيتزا صغير ورقيقة مقارنةً بغيرها من المطاعم بس طيبة
1055,Exellent
1056,Great
1057,اكلهم جميلللل
1058,الطعام لم يكن لذيذ وليش مشهي
1059,ب
1060,Good
1061,
1062,The food is not fresh. It tastes as though its been reheated. Ive had to throw the chicken away altogether and lamb chops are also obviously reheated. This the second time that the chicken has tasted bad from this place. I would like a refund and i wont be ordering from this place again.
1063,ز
1064,🤍
1065,الاكل كان باردا / ولا ادري هل السبب السايق
1066,جيد جداً
1067,Amazing
1068,Food was messy and cold and hot pepsi
1069,ممتاز
1070,ممتاز
1071,
1072,Item. It healthy . I found inside a stone ?!!!
1073,Nothing
1074,❤️❤️
1075,
1076,Exellent!
1077,"The order’s packaging was average, Food quality was good compared to the price, Food was pretty good, I was impressed with how fast my order arrived"
1078,جميل جدااا
1079,Food quality was good compared to the price
1080,"طلبت عش البلبل ،وصلتني بقلاوة و غير  طازجة
, نوعية الأكل لازم تتحسن"
1081,"This is not petite four, Food quality should definitely be improved, It wasn’t great value for money"
1082,it's from Star Turkish sweet /  if I compared with Turkish Baklava.. i give 7/10 .. it was ok.. but not Wow like the real Turkish sweet
1083,الطلبية كانت بقلاوة فقط واستلمت بقلاوة مشكلة
1084,Items chosen from list were not avaiable after ordering. Need to update your lists.
1085,جميل
1086,لذييذ
1087,صفر
1088,!!
1089,Thank u
1090,Not fresh 👎🏻
1091,Tasty
1092,Good
1093,👏🏻
1094,جيد جدا
1095,"The food is not like usual, i order 2 things fhey gave me 2 sauce but it should be 4. 2 for each order."
1096,واو
1097,رائع
1098,Very sour
1099,وائع
1100,
1101,Amazing place! So delicious!!!
1102,روووعه الطعم
1103,Just woooowwww
1104,Bad resturant
1105,Requested tamria subar instead of white sauce but not considered my request and they informed me the request has been considered with them
1106,Mwahhh
1107,No spoons with the orders and the toppings very mini 🙄
1108,First time ordering was delicious...!   Quality of the yogurt is absolutely phenomenal...!  Great flavors...!  EXCELLENT CHOICE to ENJOY....!!!!  Experiencing a wonderful  customer service too; Yogutland team help me to choose the flavors..👍
1109,I ordered the froyo from Yogurtland through Talabat. The taste is very good. Please try their varied varieties of falvours. My personal choice is plain tart which is their most selling product.
1110,I ordered the froyo from Yogurtland through Talabat. The taste is very good. Please try their varied varieties of falvours. My personal choice is plain tart which is their most selling product.
1111,I ordered the Salted caramel flavour &amp; it is tooo good. I liked the taste of this flavour. I vl recommend this flavour. My rating is 5/5. Njoyed a lot
1112,If I could share a picture I would. The 12oz coup wasn't even half full. That's despicable behaviour and you should be damn ashamed of your conduct. I will post the pictures on Facebook and Instagram. City centre
1113,جيد
1114,طلبت إضافة في الايس كريم وما وصلني
1115,Not all order was delivered
1116,Not good value for money!
1117,My order didn’t arrive within the time I expected
1118,حقيبة التبريد مميزة، واشتريت بعرض جوهرة فكانت القيمة جيدة
1119,طلبي ما وصل بالسرعة التي كنت متوقعها
1120,🤤🤤🤤
1121,حسيت ان نوعية الأكل كانت ممتازة بالنسبة للسعر
1122,Great Natural Flavors
1123,Good and Healthy
1124,No spoons with the orders and the toppings very mini 🙄
1125,First time ordering was delicious...!   Quality of the yogurt is absolutely phenomenal...!  Great flavors...!  EXCELLENT CHOICE to ENJOY....!!!!  Experiencing a wonderful  customer service too; Yogutland team help me to choose the flavors..👍
1126,I ordered the froyo from Yogurtland through Talabat. The taste is very good. Please try their varied varieties of falvours. My personal choice is plain tart which is their most selling product.
1127,I ordered the froyo from Yogurtland through Talabat. The taste is very good. Please try their varied varieties of falvours. My personal choice is plain tart which is their most selling product.
1128,I ordered the Salted caramel flavour &amp; it is tooo good. I liked the taste of this flavour. I vl recommend this flavour. My rating is 5/5. Njoyed a lot
1129,If I could share a picture I would. The 12oz coup wasn't even half full. That's despicable behaviour and you should be damn ashamed of your conduct. I will post the pictures on Facebook and Instagram. City centre
1130,جيد
1131,طلبت إضافة في الايس كريم وما وصلني
1132,Not all order was delivered
1133,Not good value for money!
1134,My order didn’t arrive within the time I expected
1135,حقيبة التبريد مميزة، واشتريت بعرض جوهرة فكانت القيمة جيدة
1136,طلبي ما وصل بالسرعة التي كنت متوقعها
1137,🤤🤤🤤
1138,حسيت ان نوعية الأكل كانت ممتازة بالنسبة للسعر
1139,Great Natural Flavors
1140,Good and Healthy
1141,food was cold
1142,Delicious
1143,Good
1144,شكرا
1145,Good
1146,Very good
1147,They took my money but didn't add frinch fries in my order I want my money of frinch fries back today
1148,foods is great but sometimes ignoring request and missing items
1149,I required from them to add cheese and they did not add
1150,Good
1151,Love it
1152,"The chicken in the burger is not fully cooked
I write reviews on orders but no one takes it in consideration"
1153,😍
1154,Good
1155,لا يوجد
1156,افشل سايق مر علي
1157,Good
1158,Amazing
1159,Satisfied
1160,بطاطس كان قليل يكفي لشخصين فقط
1161,.
1162,Very delicious 😍
1163,التأخير
1164,دللل
1165,جيد
1166,ممتاز بس  وصلت بارده
1167,Box was opened!!!
1168,واو🌩🌪
1169,ممتاز
1170,"كان الأكل لذيذ جداً وفاق توقعاتي, حسيت ان نوعية الأكل كانت ممتازة بالنسبة للسعر"
1171,Very good
1172,ممتاز
1173,ممتاز
1174,❤️
1175,ز
1176,Ordered somthing and received not the order i made
1177,اا
1178,Good
1179,ممتاز
1180,great value for great taste
1181,الرسوم جدا عالية
1182,اكلة ممتاز
1183,طلب خاطئ غير راضي
1184,Cheap and bad
1185,جيد
1186,عجيب
1187,جيد
1188,رهيب
1189,.
1190,
1191,Very fast
1192,
1193,شكرا
1194,No
1195,ماحلو
1196,Fresh
1197,ممتاز
1198,افضل دونات في عمان بلا منازع
1199,Nice
1200,وصل الطلب خلال ١٠ دقايق وبحاله جيده
1201,"They have to improve the quality, it looked to me not good as 3rd street...If they improve a bit would be good."
1202,ممتاز
1203,Good
1204,Fast uber
1205,I used to order from city dounts however this time my experience was not as good as I thought!!
1206,لذيذ يحتاج تسويوا لنا عروض
1207,"The coffee to hot , i order cold coffee"
1208,لا اعلم
1209,سبانش لاتيه (ساخن) جميل جداً
1210,سبانش لاتيه جداً ممتاز
1211,جيد
1212,Very Nice coffee one of the best cappacinoe i have ever tried
1213,Super
1214,Super
1215,Super
1216,Super
1217,Should check the special requests
1218,الطلب لم يوصل
1219,Super
1220,Amazing
1221,احسنت
1222,Super
1223,Super
1224,Supe
1225,Super
1226,Super
1227,M
1228,Very disappointed from 3D donuts
1229,سريع جدا
1230,Good
1231,simply the best donuts there is
1232,Super
1233,They didint writ HBD ameer ??
1234,Excellent
1235,حييت
1236,Good
1237,You are the best 👍🌟🌟
1238,Doughnuts were old with fresh toppings. Shocked to get it from 3rd doughnuts. Was a fan and never experiebced wen we purchased directly
1239,Very good
1240,رااائع 🚀😍
1241,Good
1242,Please include options to order single doughnuts
1243,🤍🤍
1244,Nice
1245,ابارا
1246,Prefect
1247,Delivered ontime
1248,Food fresh and yummy!
1249,"the bread was stale, dry and hard. I couldn't even cut it with my bread knife! for 2 rials for a very small loaf you expect better! Talabat at least gave me a refund as the bread was inedible. I will try them again 1 last time, as previously the bread was fresh. if it's bad again they've lost a very good customer!"
1250,"Nice traditional loaf, thanks!"
1251,The order didn't arrive and nobody confirmed anything
1252,Overproced for very small and basic sandwich
1253,Ok
1254,Very good
1255,Try to be more nice
1256,Delicious croissants arrived fresh and warm
1257,.
1258,راي مامنه فايده عندكم  ... مايهمكم رأي ...
1259,لذيذ
1260,Extremely small portion
1261,Worst keto bun i ever seen ....dont order
1262,Amazing food
1263,الاسعار خياليه والاحجام صغيره يعني الساندويش عباره عن بايتس
1264,"the keto carrot cake was a disappointment,  too much  fondant and icing,  small portion and tasted too artificial"
1265,اسوأ مخبز. في الصورة ثلاث حبات وصل حبة واحدة. ليش ما تضيفوا تفاصيل أكثر عن المنتج!
1266,Tiny portions !!!!
1267,"Mismatch between pictures, reality and expected taste"
1268,The cake was really old and did not taste good! Im really dissappinted.
1269,Taste was bland
1270,لا سلطه ولا ملاعق و تطلب شي و يوصلك شي 😒
1271,سيء
1272,بصراحه غير راضيه عن جودة الاكل هلمره حاطين لي صالونه كانها ماي وش ذا تو يتغير الطلب
1273,١
1274,"I didnt recieve the order and the rider lied to the call center agent - the rider never contact me at all- the reason of mot delivering my order is the my location is far and he wated to take another orders to make more money - 
Because of this kind of foolish untrained rider i will not use Talabat again and will never recomend it - as Talabat call center didnt have a solution for the problem"
1275,الكمية غير كافية ، دائما لا يتم احضار ادوات الطعام .
1276,Food is good only thing the quantity is small
1277,جيد
1278,لا يوجد
1279,ممتاز
1280,تم تجاهل ملاحظاتي ، اكثر من مره تحصل .. الاكل ممتاز بس تجاهل الملاحظات
1281,ممتاز وينصح به
1282,طلبت فلفل اخضر وبصل وم ضافوه ودايماااا م يضيفونهم
1283,"I suggest to Mandoos to reduce the quantity of meal with price reduction, the meal is for two person."
1284,متاز
1285,Thay change ice creem
1286,لذيذ ماشاء الله
1287,nice
1288,ok
1289,تجربة جميله شكرا طلبات
1290,M
1291,Need to confirm the order n send it corectle
1292,Missing all the icecreams
1293,missing fries from my meal
1294,Order was not delivered
1295,اخذ مني ١٠٠ بيسة زيادة بدون سبب
1296,حتى لشخص م يكفي
1297,Quick but food was cold
1298,رزا
1299,👍🏻
1300,So goood
1301,rider was lazy and didn't want to deliver to my door instead asked me to look for him out on the street. I might as well get in my car and get a drive through
1302,"The rider was quick and very polite , Thank you"
1303,ظ
1304,شكراً لكم
1305,Food missing ans drink spilt all over  remaining  food
1306,Very good
1307,تاخير
1308,Bad servies
1309,ممتز
1310,
1311,ممتاز
1312,Coshary was amaizing as usual but i ordered two orange juce and they brought liemon 🤦🏻‍♀️🤷🏻‍♀️
1313,Very fast and friendly guy
1314,ما كان  الطلب كما طلبت كنت اريد فلافل و جابلي فول😡
1315,
1316,حلو وسريع الله يوفقكم
1317,.
1318,The koushari was the best
1319,"The bread is not fresh, it breaks while unwrapping, the wrapping papers are sticked to the bread"
1320,لاتعليق
1321,Nil
1322,.
1323,الصراحة نفس شوارما البلد يححح
1324,Thanky
1325,.
1326,The shawarma was good and also falafel was good thanks
1327,S
1328,Good
1329,اكس
1330,I did not receive the correct order and i am allergic to garlic!! All order is with garlic!!
1331,no
1332,Delicious food
1333,Thank you so much!
1334,Food was bad...all my family got sick
1335,The freekeh and imsakhan rolls are so yummy!
1336,
1337,ا
1338,Good
1339,Good food. Prices have been raised and portions are smaller. A rip-off.
1340,Delicious food and excellent quality!
1341,Good
1342,ت
1343,Cmae quick
1344,Good
1345,شكرا
1346,It was very bad
1347,The food was tasty
1348,The food was barealt cooked
1349,Confusion
1350,Great food
1351,اكلهم طيب
1352,Excellent food
1353,من افضل المطاعم الي ذقتها واكلهم جدا لذيذ
1354,ممتاز
1355,Where is my order ???
1356,Thank you
1357,Yummy food thanks🤩
1358,"No doubt the food is excellent, however this time they deliver the wrong type of bread .. otherwise all was perfoct"
1359,Good
1360,"Unexpected food quality! The Daal was watery no lentil seen, i requested for not spicy food and it was spicy the kids couldnt eat."
1361,💕
1362,Best indain resturant in oman mashallah 🤤😋
1363,الاكل غير طازج وغير مطبوخ بالطريقه الصحيحه اضطريت للطلب من مكان اخر
1364,they said 30 minit take more than hour and he show that he delverat after one hour when his not poor service
1365,جميل جدا جدا
1366,"The salted lassi drink tasted and smelled very very bad extreamly un bearable taste like it was rotten

Please check the salted lassi it could be expired"
1367,رهيب
1368,لذيذ جداً 😍
1369,الاكل ما نفسه الي طلبته وغير مرتب الاكل صراحه كل مره اواجه مشاكل ف طلبات ف لازم اقدم شكوى ف حمايه المستهلكه لان صراخه ما صارت احنا ندفع فلوس كل مره ف شي انا مستحيل بطلب معاكم تم دن مليون مره احسن منكم ف كل شي
1370,Best foood
1371,اصبت بتسمم بسبب الاكل
1372,منتاز
1373,مافي دجاج مع المندي
1374,وصل بدون ثلج + الكرواسون بارد
1375,Verey good 👍
1376,الوصول بسرعه
1377,ماشاء الله
1378,Super
1379,الثلج ذائب
1380,J
1381,"The guy who made my starbucks should get a raise ""what a lad"" he really is !"
1382,I didnt get tge right size.
1383,طلبت امريكانو ساخن ووصلني ساااااخن
1384,So nicd
1385,The item i recived was wrong
1386,لذيذ
1387,I paid for a vanilla latte with extra shot and caramel. where is my refund? I only got large latte
1388,💕💕
1389,جيد
1390,Always the best team.
1391,I writ the spical request twis .. they egnor it
1392,Milk was wromg
1393,Excellent
1394,Good
1395,الكنافه ك طعم كانت جميله لكن شوي ملاحضات يا ريت تنتبهو العا في المره الجايه مثل سماكة الكنافه كانت كثير سميكه . والجبنه كان بدها تحلايه اكثر بالمي لان كان فيها احزاء مالحه . والجبنه نفسها كانت جايبه ميه يعني مو منشفه كويس لكن تغليف وطعم وكميه كانت كثير روعه
1396,جيد
1397,Bad
1398,Very good!
1399,😍😍
1400,"The food was so dry , tough and not fresh. Did not enjoy at all"
1401,Soft kunafa not crispy
1402,Ver bad
1403,.
1404,Great
1405,Great food but received wrong order!
1406,Good
1407,☺️
1408,Good kunafa best in oman
1409,ممتاز
1410,Lovely
1411,جيدة
1412,"I rqust that to be cut ,he said this not my job"
1413,حلوو❤️
1414,طعم ليس جيدا.
1415,Good food and pakkiing
1416,اسوء طلب طلبته في حياتي
1417,السايق كان غير نظيف (( النظافة 😭😭))
1418,Fantastic
1419,Wrong item please send new
1420,Good
1421,الكوفي و الحلويات تبعهم كثييير سكرية....لدرجة انها تجيب الغثيان🤮...
1422,Brill
1423,"Coffee is bad, sandwich very oily ☹️"
1424,Good
1425,"طلبنا كيكة زعفران .. بس كانت دون المستوى 
ما انصح فيها"
1426,Pour some of my coffee
1427,"The special requests were not followed. No skinned milk, no cutlery even after mentioning"
1428,"The coffee is really bad, its too sweet and tastes like mango milkshake, i would like another one or a refund"
1429,Wrong coffe
1430,Order not received
1431,Good
1432,ساعه ونص الطلب
1433,Ok
1434,Cold
1435,only the iced match Tea powder  needs to be mix well
1436,ممتاز
1437,
1438,رائع
1439,❤️
1440,زد
1441,💕
1442,May Allah accept our charity....Aameen
1443,G
1444,من ميزان حسناتكم
1445,Su
1446,￼
1447,👍🏻
1448,May god bless you for the good work which you are doing.
1449,ز
1450,ممتاز
1451,ok
1452,Good
1453,ممتاز
1454,KEEP UP THE GOOD WORK.MAY GOD BLESS YOU.
1455,🌹
1456,دار العطاء ما يوصل اكل ود الحلال
1457,Goid
1458,The ultimate fries came without beef !!! 😠😠😠
1459,Good but can be better. It was somehow tasteless.
1460,chicken fillet sandwich is very good. one problem by my side was i thought the lemonade was mojito and wasted money only on lemon juice and a little berry bits
1461,good
1462,🙂
1463,Keep ip the good work
1464,Bill No: 1645954378 Strawberry Lemonade Regular 1.200 rials MISSING
1465,Jj
1466,Very good
1467,"The food is good. However, they could've added more veg options. Plus, it is called cheese fries, so please put good amount of cheese !"
1468,لم يكن الأكل جيداً اطالاقاً
1469,"Hot, delicious, and fast ! ❤️‍🔥"
1470,Yummm
1471,Good
1472,There is no way i paid this much for a half sandwish
1473,They forgot my drink
1474,You forgot tissue and spoon
1475,المطعم والوجبات فوق الممتاز
1476,Bussin
1477,Kindly check my complaint I raised
1478,👌👌👌
1479,"الطلب مفقود 
طلبت 2 صحن زعتر ولكن حصلت على واحد 
هذا المخبز للمره الثانيه يعمل نفس الحركه 
اريد استرجاع المبلغ المدفوع نظير الطلب الي ما وصلني"
1480,"not fresh,  ما طازج"
1481,رهيب
1482,استلمت منتج مختلف عن الطلب
1483,سريع
1484,اسرع توصيل 👍🏻 والخدمة ممتازة
1485,طلبت فطيرة زعتر ، وصلتني لبنه وزيتون💔
1486,جميل
1487,الخبز اللبناني غير طازج
1488,Hi ih
1489,كان الأكل لذيذ جداً وفاق توقعاتي
1490,"طلبي وصل بوقت أسرع من المعتاد, نوعية الأكل كانت جيدة بالنسبة بالسعر"
1491,التوست طعمه لذيذ
1492,They dliver wrong item
1493,"I was impressed with how fast my order arrived, I felt I got great quality for the amount I paid"
1494,Excellent
1495,طلبي وصل بوقت أسرع من المعتاد
1496,Food was pretty good
1497,Need development
1498,هل تم توصيل الأمانة إلى الجمعية؟
1499,بالتوفيق❤️
1500,ا
1501,
1502,ت
1503,👍
1504,
1505,
1506,Gr8
1507,gg
1508,👍🏻
1509,🤝
1510,اتمنى يكون سريع التوصيل اقل عن نص ساعه
1511,Good job
1512,استمروا في هذا التعامل المميز
1513,Excellent service
1514,nice driver
1515,-
1516,.
1517,ممتاز
1518,حبيت طريقة تغليف طلبي
1519,😅 كمية الدجاج قليلة جداً مقارنة بالمرات الماضية
1520,Excellent taste .. staff if confused witb ur order they will call to ensure u get the correct order. Thumbs up
1521,Excellent
1522,"I ordered my grape bubble tea with cream, but I received without cream"
1523,"Since you are charging more than OMR 1 per pancake, please work on your packaging! I received my pancake open; all it takes a sticker to ensure the food arrives fresh and warm! I wish I can attach a photo on this app!"
1524,You are amazing
1525,Rider went to complete other orders. if I wanted a bubble tea with ice I would have got that rather than a frappe. also the bubble tea was hot by this point. riders should complete one order before making other orders.
1526,
1527,Love the restaurant
1528,good
1529,nice
1530,taste really good! it's my first time to try a new flavor
1531,Instead of enjoying ghe salad I was too busy picking off the onions which were not mentioned in the dish description.
1532,The food was super yummy
1533,و
1534,Very good
1535,T
1536,ااطعام غير ناضج
1537,The item was not closed well it fell all over the bad inside
1538,good
1539,The singaporean fried rice was so oily !
1540,Good
1541,ممتاز.
1542,👍🏻
1543,الاكل غالي
1544,Good
1545,Very fast 👍🏻
1546,Great amd fast
1547,Good
1548,ت
1549,Nice
1550,الطعام وصل دافئا ولذيذ كالعاده
1551,كمية الارز ليست كالعاده كانت قليله جدا
1552,"Chicken manchow soup smelt like Fish Manchow soup. Maybe the utensils were not clean. Had to dispose off the entire portion of soup. Dissapointing for a 1.8 rial soup. 
Chicken Tikka lababdar is a must have! Great taste"
1553,The worst chopsuey ive had so far. Tastes like plastic
1554,Very tasty
1555,😍
1556,He took more money
1557,❤️
1558,😍
1559,Great
1560,V hood
1561,🥰
1562,😍
1563,😘
1564,Great
1565,ممتاز جداً
1566,the rice not cooked
1567,طعام قديم وغير طازج وطعم سيء جدا
1568,"Packaging was good Although food taste was really bad, not hot and not fresh at all. I was surprised about food quality and very disappointed
Ans it takes them long time to deliver the food"
1569,The taste is weird for vines leaves I thought it would be better. Need improvement
1570,طلبت بسبوسة جابوها لي محروقة ما تنإكل وللعلم رسلت لصاحبة المشروع لأني اعرفها شخصيا ولكن حتى اعتذار كثير
1571,❤️perfect
1572,Waited for two hours and restaurant decided to cancel our order :(
1573,Thanks
1574,I ticked with cutleries but they didnot include anything.
1575,Food was delivered with smell of cigarretes
1576,Wrong order. 😡
1577,U have forgotten my pizza i didnt take my order please send it again or i wont order it again
1578,Thank you
1579,Yellow cap Super pizza 😋😋
1580,Everythinb was great
1581,Goood
1582,"Food was good but it is so expensive (small quantity)

Even my cat would not be satisfied with the quantity 🤨"
1583,You gave the wrong pizza
1584,Drink was expired!
1585,"the best, and The food was very delicious. Well done keep it up"
1586,Pompt and professional.
1587,This is second time missing item last was same and pizza was cold
1588,The best pizza place in Oman!
1589,Excellent
1590,Loved it. You want pizza? These guys know pizza!
1591,ممتاز وصل ساخن
1592,"Vert nice, taste and over all perfect"
1593,The pizza was not properly cooked
1594,They forget to send the shawarma sauce tarator
1595,نريد توصيل للخوض ال٦، أحببت المطعم كثيرا، ومن غير المنطقي التوصيل للخوض السابعة ولا يوجد توصيل للخوض السادسة !!!!!!
1596,Good
1597,Significant Improvement 👍👍
1598,"Shishbarak was very delicious as the other mezza, the packaging of the food is very beautiful and very appetizing! Thank you Enab!"
1599,رهيييييييب
1600,الاكل وصل لنا بارد .. وطلبت شي ما جابوه وشكراً
1601,Amazing Taste 👏 It's like eating in lebanese restaurant in Beirut 👍🏻
1602,لن اطلب من مطعمكم مرة تانية
1603,😋😋
1604,Amazing!
1605,الاكل بارد
